,Unnamed: 0,translated_text,fear,disgust,joy,sadness,surprise,anger,text
21,21,زنان احساس متفاوت و خوشایندی را تجربه می‌کنند وقتی که مردان از آن‌ها مراقبت می‌کنند. اما زمانی که ما زنان بیش از حد مورد توجه و مراقبت قرار می‌گیریم، این موضوع باعث ایجاد احساس بد و فشار ناشی از تحقیر در ما می‌شود.,0,0,0,0,0,0,ሴቶች በወንዶች እንክብካቤ ሲደረግላቸው የተለየ ደስ የሚል ስሜት ይሰማታል ። እኛ የበዛ እንክብካቤ እና care በሴቶች ሲደረግልን መጥፎ ስሜት እና የበታችነት ይጫናነናል ። በተለይ
22,22,ساخت‌وساز غیرقانونی خانه امروز نیز تخریب خواهد شد و فردا هم تخریب می‌شود. مؤسسه کثیف، برای دروغ و نژادپرستی که تبلیغ می‌کنی، نمی‌توانی حقیقت را بر اورومیا تحمیل کنی. این مؤسسه از زمان شروع به کار نماینده اتیوپی نیست، بلکه تنها امهارا را نمایندگی می‌کند.,0,1,0,0,0,1,ህገወጥ የቤት ግንባታ ዛሬም ይፈርሳል ነገም ይፈርሳል ቆሻሻ ተቋም ለውሸትና ለብሄርህ ስታጎበድድ እውነትን ኦሮሚያ ላይ መጋረድ አትችልም ሲጀመር ይሄ ተቋም ኢትዮጵያ አይወክልም አማራን እንጂ
23,23,بله، ما این نوع ظلم وحشت‌ناک را تنها به تاریخ می‌سپاریم و اصرار داریم که مورد بازجویی قرار گیرد.,0,0,0,1,0,1,ኣዎ ይህ አይነቱ ዘግናኝ ግፍ ለታሪክ ብቻ ኣቀመጥም እንዲጠየቁበትም እንሰንደዋለን
24,24,بسیار غم‌انگیز است، داستان قلب را می‌شکند.,0,0,0,1,0,0,በጣም ያሳዝናል ታሪኩ ልብ ይስብራል
25,25,شاخ بیرون بیاور، این که چگونه او را به عنوان رهبر امهارا منصوب کردند غم‌انگیز است و نشان می‌دهد که چطور مردم را تحقیر می‌کنند.,0,1,0,1,0,0,ቀንድ አውጣ ይህን እንዴት የአማራ መሪ አድርገው ቀጠሩት ያሳዝናል ህዝቡን እንዴት እንደሚንቁት
26,26,این آشوب‌گر خطرناک و دیوانه باید از خانه دولت به زندان منتقل شود تا به قانون تحویل داده شود. این ضروری است که کشور را از آشوب به آشوب، از جنگ به جنگ نکشانیم.,0,1,0,0,0,1,ይህንን ቀውስ ጠማቂና እብድ ሰውዬ ከቤተ መንግስት ወደ እስር ቤት በመወርወር ለህግ ማቅረብ የግድ ነው ከቀውስ ወደ ቀውስ ከጦርነት ወደጦርነት አገርን እየደ
27,27,به چه کسی فریاد می‌زند؟ به جز خالق، کیست که پاسخ دهد؟ شعرش به جایی نمی‌رسد. هیچکس را نمی‌توانی بپرستی، هیچ انسانی را نمی‌توانی نابود کنی، نمی‌توانی بدن را تحقیر کنی یا آن را از بین ببری. اما برای تو پایان ترسناک است، محافظت از ساکنان شهر وظیفه‌ای سنگین است. لطفاً به من بگویید، ژنرال شکست‌خورده.,0,0,0,1,0,1,ወደማን ይጮሀል ከፈጣሪ ዉጪ ያማል ቅኔዉ ወዳጀዋ ምንም ልትገዛ ምንም ሰዉ ልትጨፈጪፍ ልትገል አካል ልታጎል ትችልአለህ ግን ዋ ላንተ መጨረሻ ፍራ መከላከያ የሰፈር ሚኒሻ ነዉ እስኪ ይንገሩኚ ምርኮኛ ጀኔናር
28,28,"در اورشلیم، پسر داوود، حکیم سخن می‌گوید؛ حکیم می‌گوید: ""باطل است، باطل است، همه چیز باطل است."" از تمام کارهایی که زیر آفتاب انجام می‌شود، انسان چه سودی می‌برد؟ نسلی می‌رود و نسل دیگری می‌آید؛ اما زمین برای همیشه پایدار می‌ماند. خورشید طلوع می‌کند و غروب می‌کند و به جایی که از آن طلوع کرده است بازمی‌گردد. باد به سمت جنوب می‌وزد و سپس به شمال برمی‌گردد؛ دور می‌زند و دوباره به چرخه خود ادامه می‌دهد.",0,0,0,0,0,0,በኢየሩሳሌም የነገሠው፣ የዳዊት ልጅ፣ የሰባኪው ቃል፤ ሰባኪው፣ “ከንቱ፣ ከንቱ፣ የከንቱ ከንቱ፤ ሁሉም ነገር ከንቱ ነው” ይላል። ከፀሓይ በታች ከሚለፋበት ተግባር ሁሉ፣ ሰው ምን ትርፍ ያገኛል? ትውልድ ይሄዳል፤ ትውልድ ይመጣል፤ ምድር ግን ለዘላለም ጸንታ ትኖራለች። ፀሓይ ትወጣለች፤ ትጠልቃለችም፤ ወደምትወጣበትም ለመመመለስ ትጣደፋለች። ነፋስ ወደ ደቡብ ይነፍሳል፤ ወደ ሰሜንም ይመለሳል፤ ዞሮ ዞሮ ይሄዳል፤ ዘወትርም ወደ ዑደቱ ይመለሳል። ወ
29,29,پدرش آمریکا نیز برای سال‌های زیادی در افغانستان جنگید و سرانجام با تانک و تفنگ به عقب راند. اسرائیل هم از این بدتر شکست خواهد خورد، زیرا هیچ کشوری نتوانسته است پس از درگیر کردن مردم خود در جنگ، پیروز شود. زمان ممکن است طولانی شود.,0,0,0,0,0,1,አባቷ አሜሪካም አፍጋኒስታንንን ለበርካታ አመታት ወራ ስትገል ስትጨቁን በስተመጨረሻም ታንክ ና መድፏን እየጣለች ነው የሸሸሸችው ኢስራኢልም ከዚህ የከፋ ሽንፈት ነው የሚገጥማት ምክንያቱም ህዝብን ጦርነት ገጥሞ ያሸነፈ የለም ። ግዜው ሊረዝም ይችላል
30,30,آن فکر و آن نوع تفکر سطحی تو، پذیرای کلمات افراط‌گرا بود. حقیقت چیست؟,0,1,0,0,0,0,ያንቺ እና የመሰለቹሽ የዘቀጠ ዃላ ቀር የፅንፈኛ አስተሳሰብ ቃል አቀባይ ነበረ ምኑ ነዉ እዉነቱ ባክሽ
31,31,سگلایت یک چیز است,0,1,0,0,0,0,ስጠላት እጭምስጥ ነገር ናት
32,32,رسانه‌های اتیوپی ابتدا جنایت اسرائیل علیه فلسطین را نادیده گرفتند و حالا می‌گویند که حمله‌ای به اسرائیل صورت گرفته است. دروغ می‌گویید. این نتیجه اعمال خودشان است.,0,1,0,0,0,1,የኢትዮጵያ ሚድያ መጀመሪያ እስራኤል በፍልስጤን ላይ ያደረሰችውን በደል ጆሮ ዳባ ልብስ ብላችሁ አሁን በእስራኤል ላይ ጥቃት ተፈፀመባት ትላላላችሁ።ንድድድ ትበል።ብሶት የወለደው ነው ።
33,33,جمعه روز عشق است، پروردگارا، هنگامی که از عشق به فرزندان انسان سخن می‌گویی، در روز جمعه با گوشتی که شکستی و خونی که ریختی، ای خداوند، ما را ببخش و بر ما رحم کن.,0,0,0,1,0,0,አርብ የፍቅር ቀን ጌታ ሆይ ስለ ሰው ልጆች ፍቅር ስትል በዕለተ አርብ በቆረስከው ስጋህ ባፈሰሰከው ደምህ ብለህ አቤቱ ማረን ይቅርም በለን
34,34,آی سی‌مای، یه ریمیکس از خودت ساختی.,0,0,0,0,0,0,አይ ሲማይ የኔ እረ ተይክክሚስኪን ጉዚ ሰራሽለት
35,35,دولت اورومو چرا می‌خواست امهارا را بزند؟ در ارتباط با مرگ آتو گیرما شیتلا، اخیراً نیروی مشترک امنیت و صلح تشکیل شده است.,0,1,0,0,0,0,የኦሮሞው መንግስት ለምን አማራውን መምታት ፈለገ? ከአቶ ግርማ የሺጥላ ሞት ጋር ተያይዞ የጸጥታና ደህንነት የጋራ ግብረ ኃይል ሰሞኑን
36,36,تِفَتاویت اَلقوشی آنتفو یه آبیین ایگر ایسامو نِد چایو,0,1,0,0,0,0,ተፈታዊት አለቆችሽ አንጥፈው የ አብይን እግር እየሳሙ ነው ቻይው
37,37,دریای ما را که به سرقت بردید، لطف شماست که به یاد می‌آوریم. پس چه لطفی خواهد بود که بگویید؟ در واقع، شما دشمنان ما هستید. اتیوپی کشوری است که دریایی به آن داده شده و یافتن آن را در شگفتی بزرگی قرار داده‌اید. چیزی که انتظارش را نداشتید، وقتی از خواب بیدار شدید، این لطفی که می‌گویید برای اسایاس قدرت تیگرای خواهد بود که برخاسته و تسلیم شده‌اید.,0,1,0,0,0,1,ባህራችንን የሰረቃችውብንን ውለታ ነው የምናስታውሰው  ታዲያ የቱን ውለታ ይሆን የምትለን እንደውም ክፋ ምቀኛችን እናንተ ናቹ ኢትዮዽያ ባህር የሚሰጣት ሃገር ማግኘቷ ከባድ ድንግጣ ውስጥ ከቷቹዋል ድንገት ያልጠበቃቹት ነገር ከሰመመናቹ ሲያነቃቹ ይሄኔ ውለታ የምትለው ለኢሳያስ ስልጣን ትግራይ ዘምተህ ጭዳ የሆንክበትን ይሆናል እኮ
38,38,این مصاحبه می‌خواهد درد پنج ساله‌ام را به یادم بیاورد، اما امیدی در من دیده می‌شود. کاتایاچو، لطفاً آن را به من نشان بده.,0,0,1,0,0,0,የአምስት አመቱን ስቃይ ይሄ ኢንተርቪዉ ሊያስረሳኝ ነዉ ልበል የሆነ ተስፋ ይታየኛል ካታያቹ በላይክ አሳዩህኝ
39,39,چندین میلیون مرگ و آوارگی چه چیزی به شما می‌آموزد؟ گاشه رگا بخورید، در قرن ۲۱ انسان مانند برگ است.,0,0,0,1,0,1,የስንት ሚሊዮኖች ሞት እና መፈናቀል ነው የሚያስተምራችሁ ? ጋሼ ረጋ ይበሉ ፣ በ21 ዘመን ሰው እንደ ቅጠል እ
40,40,شخص کشور را به دشمن تحویل می‌دهد زیرا مصر می‌خواهد از این فرصت استفاده کند.,0,0,0,0,0,0,ሰውዪው ሀገሪቱን ጠላት ሰበሰባት ታደርገዋለች ምክንያቱም ግብፅ ይህንን አጋጣሚ መጠቀም ትፈልጋለች
41,41,برندگان جام آفریقا با پول و جایزه‌های ویلا مورد تقدیر قرار گرفتند.,0,0,1,0,0,0,የአፍሪካ ዋንጫ አሸናፊዎች በገንዘብ እና በቪላ ሽልማት ተንበሸበሹ
42,42,قبل از اینکه کسی را محکوم کنید، مطالعه و جمع‌آوری اطلاعات مناسب را انجام دهید. سیاست اتیوپی را به درستی بررسی کنید. اگر توانایی درک ندارید، از تصمیم گیری احساسی خودداری کرده و با احتیاط عمل کنید.,0,0,0,0,0,1,ሰውን ባንዳ ከማለት አስቀድመው ተገቢውን ጥናት እና መረጃ ስብሰባ ያድርጉ። የኢትዮጵያን ፓለቲካ በአግባቡ ያጢኑ። የመረዳት አቅም ከሌለዎ ስሜታዊ ከሆነ ውሳኔ ተቆጥበው ድምፅ ተአቅቦ
43,43,با لوسیفر برای نابودی اتیوپی و تقویت تروریست های ویانای بحث اجتناب‌ناپذیر است! گاش آبی احمد عاشق تروریست‌های ویاناست و باید با او به شدت مبارزه کنیم.,0,1,0,0,0,0,ከሉስፈርም ጋር ኢትዮጵያን ለመጥፋት እና አሸባሪ ወያኔ ለመታደግ መወያየቱ አይቀርም! አስመሳይ የአሸባሪ ወያኔ አፍቃሪ ነው ጋሽ አብይ አህመድ አጥብቃን ልንቃወሞ ይገባል፡፡፡
44,44,این شوخی برای آن فردی است که در حین انجام یک شوخی گم شد.,0,1,0,0,0,0,ይሄ ውርጋጥ ለካ የጠፉው ፕራንክ ሲያርግ ጠለፉት
45,45,در تیگرای، به دلیل کمبود غذا، ۱۳ کودک جان خود را از دست دادند - بیمارستان آیدر.,0,0,0,1,0,0,በትግራይ በምግብ እጥረት 13 ህጻናት ሞተዋል- አይደር ሆስፒታል
46,46,این درام را شروع نکردم، خوب بود. می‌دانستم که مثل این است که دارند می‌میرند، اما دارم آن را تماشا می‌کنم.,0,0,0,1,0,0,ይህን ድራማ ባልጀምር ጥሩ ነበር እንደሚሞቱ አውቃለሁ ግን ማየት ጀምራለሁ
47,47,هر روز با توبه تجدید می‌شویم و عید خداوند نزدیکتر از قبل است، پس خود را آماده کنیم. مرگ ناگهان فرا می‌رسد و ما را با خود می‌برد. با ایمان به او و نجات یافتن، از مرگ ابدی به زندگی جاودانه وارد شویم. نجات تنها با ایمان به مسیح است، نه با انجام کارهای نیک.,0,0,0,0,0,0,እለት ዕለት በንስሐ እየታደስን የጌታ ምጽዓት ከቀድሞ ይልቅ ቀርባለችና እራሳችንን እናዘጋጅ ሞት ድንገት መጥቶ እንዲህ ይወስዳል በእርሱ በማመን በሚገኝ ድነት ከዘላለም ሞት ወደዘላለም ህይወት መግባት ይሁንልንመዳን በክርስቶስ በማመን እንጂ መልካም ስራን በመስራት አይደለም
48,48,بسیار عالی است، درک کردن دیگران نیز نشانه‌ای از بلوغ و هوشمندی است...,0,0,1,0,0,0,በጣም ጥሩ ነዉ መረዳዳዳት ሌሎቹም ማሳያ ነዉና በርታ ጎበዝ ...
49,49,اکنون، اگر مانند او مردم چاق نباشی، هیچ‌کس تو را نمی‌خرد. دروازه ورود و خروج کشور هنوز بسته است و برده‌داری ادامه دارد. فرزندان جنی می‌گویند: حکومت شیطان.,0,1,0,0,0,1,አሁን እንደሱ ሆዳም ህዝብ ካልሆነ ማንም አይሸወድልህም አገር መውጫ መግብያ አተን ገና የባር በር ቅብርጥሰዬ ይላል የጂኔ ልጆዎች ሴጣን መንግስት
50,50,آره جان‌هوی شیم، چون کشور را رها کرد و به آن خیانت نمود، در زمان خود اتیوپی را ویران کرد و خانواده‌اش را در انگلستان ساکن کرد و بهای اتیوپی را پرداخت 😏😏😏,0,1,0,0,0,1,አረ ጃንሆይ ሼም አገር ጥሎ ስለተንቦቀቦቀ ነው በዘመኑ ኢትዮጵያን የፈጠፈጠ የጣለ ቤተሰቡን በእንግሊዝ አስቀምጦ ኢትዮጵያን ዋጋ ያስከፈለ 😏😏😏
51,51,بلوغ‌گری که توسط پدر از طریق دوران سختی که دیسکورس را به سمت راست هدایت کرد، دولت مورد خطاب قرار گرفت تا زمینی که در سودان گرفته شده بود بازگرداند. دعای صلح برای سودان مرا تحت تأثیر قرار داد و باعث شد به فکر فرو بروم که ما در چه وضعیتی افتاده‌ایم.,0,0,0,0,0,1,ብልጽግና በአብን በኩል ያወጣው የአጨዳ ወቅት ዲስኩር ሲያስቀኝ መንግስት ተብየው በሱዳን የተወሰደብን መሬት ይመለስ ዘንድ ስለሱዳን ሰላም ጸልዩ የሚለው ማላገጫ አሳረረኝ ጎበዝ ምኑ አዘቅት ውስጥ ነው የወደቅነው
52,52,برده چیست؟ آیا کسی که توسط استعمار آلوده نشده، برای شما برده است؟ آیا در اتیوپی به داشتن برده افتخار می‌کنند؟ آن مرد احمق است! برای مادرم اتیوپیا.,0,0,0,0,0,1,ባሪያ ምንድን ነው? በዘረኝነት ያልተበከለ ሰው ለናንተ ባሪያ ነው? በኢትዮጵያ የሚኮራ ባሪያ ነው? ሰውየው እንቁ ነው! ለእምዬ ኢትዮ
53,53,او فردی است که دهانش پر از زهر است، و گروه بی‌عدالتی را رهبری می‌کند. تمام ایده‌هایی که مطرح می‌کند، نفرت است. تیگرای و امهارا یکی خواهند شد.,0,1,0,0,0,0,አፉ መርዝ የሆነ ሠውዬ ነው የብልጽግና ባንዳ ነው የሚያነሳቸው ሀሳቦች ሁሉ ጥላቻ ነው ትግራይም አማራም አንድ ይሆናሉ
54,54,"بیلینگهام پس از اینکه گرینوود را ""بی‌پروا"" خواند، تحقیقات لا لیگا را آغاز کرد.",0,0,0,0,0,0,ቤሊንግሃም ግሪንዉድን ‘ደፋሪ’ ብሎ ተሳድቧል ከተባለ በኋላ ላ ሊጋ ምርመራ ጀመረ
55,55,برنا، از زمان آمنه به طور مداوم در حال سوختن بود و خشکسالی که ادامه داشت امروز شکسته شد. همه اخبار را دریافت می‌کنند. امروز وقتی عکس‌هایی که قبلاً دیده بودند ناگهان مانند شبح ظاهر شدند، گویی کجا پنهان شده بودند.,0,0,0,1,0,1,ቦረና ከአምና ጀምሮ ያለማቋረጥ ተከስቶ የቆየው ድርቅ ዛሬ እንደሰበር ዜና ሁሉም እየተቀባበለው ነው ዛሬ ስናያቸው የነበሩ ፎቶዎች ሁሉ የት ተደብቀው ቆይተው ድንገት እንደእንጉዳይ
56,56,دشمن ممکن است بیاید و برود، اما او همیشه برای اتیوپی باقی خواهد ماند.,0,0,0,0,0,0,መንጌ ጠላቱ ባለጌ እሱ ግን ይኖራል ለኢትዮጵያ ሁል ጊ ዜ
57,57,تو ای انسان، به نام فانون، ترسیدی و بر پدران مصلوب شدی. جبرئیل، درد تو را افزایش داد، نه مرگ را، بلکه رنج تو بیشتر شد. از بزرگ تا کوچک، خون قومم را نوشیدی.,0,1,0,0,0,1,አንተ ሰው በላ መሀይም ፋኖን ፈርተህ አባቶች ላይ ተሰቀልክ ገብርኤል የቁም ስቃይህን ያብዛው ሞትን ሳይሆን ስቃይህ ይብዛ ወገኔን ከትልቅ እስከ ትንሽ ደም ጠጣህ
58,58,انسان بودن به خودی خود خوشبختی است، اما اگر از هدف خود غافل شوی، شکست خواهی خورد. حتی اگر هزار سال زندگی کنی، بدون هدف، گویی هرگز نزیسته‌ای. بنابراین برای خالق زندگی کن و تنها برای شناخت ملت تلاش کن.,0,0,0,0,0,1,ሰው ብቻ በመሆንህ እድለኛ ነህ ግን አላማህን ስትዘነጋ የተዋረድክ ትሆናለህ።ሺ አመት የኖረ ከኖህ በስተቀር እንጃ አልሰማሁም።ስለዚ ለፈጣሪ ኑር ብሄር ለመተዋወቅ ብቻ።
