Unnamed: 0,id,text,anger,disgust,fear,joy,sadness,surprise,translated_text,emotion,length_of_class
10,amh_train_track_a_00011,ድንቄም ፌደራሊዝም ከነ ስሙ ብልፅግና ገዢው ፖርቱ ነው እኮ የሚባለው ጠቅላዩ በየክልሉ ብልፅግና ካልሆነ ኣይመቸኝም እያሉ ኣደለም እንዴ ያሉት የቱጋ ነው የሀይል ክፍፍል ያለው ህገ መንግስቱ ይሻሻል ሲባሉ በፓርላሜንት ለናንተ ሲባል ኣይሻሻልም ነው ያሉት ይህ ማለት ለኔ ተስማምቶኛል ተውኝ ነው ለዚህ ነው ለየኣንዳንዱ ፓርላማ ኣባል እያንዳድሽ ብትመረመሪ ጉድ ስላለባችሁ እምለውን ብቻ ስሙ ባይ ናቸው እንግዲህ እንደዚህ ኣይነት የፓርላማ ኣባል ወ,1,1,0,0,0,0,دقیقاً فدرالیسم، همراه با نامش یعنی خودمختاری، دروازه‌ای است که از آن عبور می‌کنیم. اگر خودمختاری در هر منطقه وجود نداشته باشد، برای من قابل قبول نیست. آنها اینگونه صحبت می‌کنند و به نظر می‌رسد که بحث بر سر تقسیم قدرت است. قانون اساسی باید اصلاح شود، اما وقتی در پارلمان مطرح می‌شود، گفته می‌شود که اصلاح نخواهد شد. این برای من قابل قبول نیست. رهایم کنید! به همین دلیل است که اگر هر یک از اعضای پارلمان را بررسی کنید، متوجه خواهید شد که آنها فقط نامی هستند و نه بیشتر. بنابراین، چنین عضوی از پارلمان...,"['anger', 'disgust']",2
11,amh_train_track_a_00012,እንደ ህብረት ደስ የሚል ነገር የለም ?,0,0,0,1,0,0,آیا چیزی لذت‌بخش‌تر از اتحاد وجود دارد؟,['joy'],1
12,amh_train_track_a_00013,Ethiopia በህዝብ ተጠልተን ልንወድቅ ነው የጠቅላዩ ያልተጠበቀ ንግግርና ማስጠንቀቂያ! via,0,0,0,0,0,0,اتیوپیا به خاطر سخنان غیرمنتظره و هشداردهنده نخست‌وزیر، در خطر سقوط توسط مردم قرار دارد.,[],0
13,amh_train_track_a_00014,ለትግራይ የሚቀርበው እርዳታ መቋረጡን ተከትሎ 1 ሺህ 400 ሰዎች በረሃብ መሞታቸው ተነገረ,0,0,0,0,1,0,به دنبال قطع کمک‌های ارائه شده به تیگرای، گزارش شده است که ۱۴۰۰ نفر بر اثر گرسنگی جان خود را از دست داده‌اند.,['sadness'],1
14,amh_train_track_a_00015,ስሙ ብቻ ሳይሆን መዝፈን ቢተው ጥሩ ነው,0,0,0,0,0,0,اسمش نه تنها، بلکه ترک کردن آواز خواندن نیز خوب است.,[],0
15,amh_train_track_a_00016,ወይኔ ምን ኣይነት ጭካኔ ነው እንደዚ ኣይነት ኣሳዛኝ ታሪክ ህይወት ሰምቼ ኣላቅም እህቴ እግዚአብሔር እድሜና ጤና ይስጥህ ያለፈ ኩፉ ሂወትሽ በደስታ ይቀየር .ኣይዞህ .ያን ጨካን ደግሞ በግዛቢሄር ፍርዱን ያገኛል,0,0,0,0,1,0,واینه، چه نوع خشونتی است که چنین داستان غم‌انگیزی از زندگی می‌شنوم و نمی‌توانم تحمل کنم. خواهرم، خداوند عمر و سلامتی به تو بدهد. گذشته تلخت به شادی تبدیل شود. نگران نباش. آن فرد شرور نیز در دادگاه عدل الهی مجازات خود را خواهد دید.,['sadness'],1
16,amh_train_track_a_00017,ይህ ዓይነት ኣስጸያፊ ተግባር በኢትዮጵያ በተደጋጋጋሚ ይታያል ይህ የሚያሳይህ ደግሞ መንግስትን አለመኖሩ ነው ህግ አልባነት ነግሰዋል ይህ አውሬም አያደርገውም በጣም ያሳዝናል እናንተ ኢትዮጵያኖች በተለይ በየቲክቶኩ ለእውቅና ለጥቅም ብላቹ ስትንጫጩ የምትውሉት ስለዚህ ዓይነት ጉዳይ አንዲትም ቀን ስትናገር አልሰማንም እናንተ ሃይማኖታዊያን ነን የምትሉ እንደዛ,1,1,0,0,1,0,این نوع رفتار زشت بارها در اتیوپی دیده می‌شود که نشان‌دهنده عدم وجود دولت و حاکمیت قانون است. این حتی حیوانات هم انجام نمی‌دهند، بسیار ناراحت کننده است. شما اتیوپیایی‌ها، به ویژه آنهایی که در شبکه‌های اجتماعی برای شهرت و منفعت خود جار می‌زنید، هرگز درباره چنین مسائلی صحبت نمی‌کنید. شما که ادعای دینداری دارید، اینگونه رفتار می‌کنید.,"['anger', 'disgust', 'sadness']",3
17,amh_train_track_a_00018,በፊት በሰራኸው ጥፋት አሁን ላይ ዋጋ ሲያስከፍልህ,0,0,0,0,0,0,به خاطر اشتباهی که قبلاً مرتکب شدی، اکنون داریم تاوانش را می‌پردازی.,[],0
18,amh_train_track_a_00019,ህጉ የሚፀናው ኤርትራውያን ስለሆኑ ብቻ ነው ኢትዮጵያውያኖች ከዚህ የበለጠ አሰቃቂና ዘግናኝ ወንጀሎች እየፈፁሙ አይደል እንዴ  ከዝርፊያ ባሻገር ዝርፊያው ከግድያ ጋር አደል እንዴ ድርጊቱ እየተባባሰ አይደል  የኢትዮጵያና ኤርትራውያኖች ፍርድ የተለያየ የሆነበት ምክንያት ምንድነው ኧረ እግዚኦ መሀረነ ክርስቶስ ግፍና በደል በዛ እስቲ ሁሉም አስቦበት ሞቱ ቀርቶ በእድሜ ልክ ተቀይሮ ወንጀለኞቹ የመፀፀቻና ንስሀ መግቢያ ዘመን አግኝተው የመተንፈሻ,1,1,0,0,0,0,قانون به این دلیل پابرجاست که اریتره‌ای‌ها هستند. آیا اتیوپیایی‌ها جرائم دردناک‌تر و وحشتناک‌تری مرتکب نمی‌شوند؟ آیا خشونت از تجاوز فراتر نرفته و با قتل همراه نشده است؟ آیا این اعمال در حال تشدید نیستند؟ چرا عدالت برای اتیوپیایی‌ها و اریتره‌ای‌ها متفاوت است؟ خدایا، مسیحا، ظلم و ستم فراوان شده است. بیایید همه به آن فکر کنیم. حتی اگر بمیریم، سنمان تغییر کند و مجرمان دوران توبه و پشیمانی را تجربه کنند، نفس‌کشیدن دوباره ممکن خواهد بود.,"['anger', 'disgust']",2
19,amh_train_track_a_00020,አለፍልህ የተረገመክ ሳኡዲ የታሰሩትን ዜጋ አስገባ እንባቸው ጎርፍ ሁኖ ይወስድህ ስም ፈላጊ,1,1,0,0,0,0,متأسفانه، متن ارائه‌شده به زبان اتیوپیایی (آمهریک) است و من قادر به ترجمه آن به فارسی نیستم. اگر می‌توانید متن را به انگلیسی یا زبانی دیگر ارائه دهید، خوشحال خواهم شد که در ترجمه آن کمک کنم.,"['anger', 'disgust']",2
20,amh_train_track_a_00021,እየቀለድኩኝ መስሎሻላ። ስንቱን መከራ አሳልፈን ነው እዚህ የደረስነው።,0,0,0,0,1,0,به نظر می‌رسد که دارم گریه می‌کنم. چه رنجی را پشت سر گذاشته‌ایم تا به اینجا رسیده‌ایم.,['sadness'],1
21,amh_train_track_a_00022,ሴቶች በወንዶች እንክብካቤ ሲደረግላቸው የተለየ ደስ የሚል ስሜት ይሰማታል ። እኛ የበዛ እንክብካቤ እና care በሴቶች ሲደረግልን መጥፎ ስሜት እና የበታችነት ይጫናነናል ። በተለይ,0,0,0,0,0,0,زنان احساس متفاوت و خوشایندی را تجربه می‌کنند وقتی که مردان از آن‌ها مراقبت می‌کنند. اما زمانی که ما زنان بیش از حد مورد توجه و مراقبت قرار می‌گیریم، این موضوع باعث ایجاد احساس بد و فشار ناشی از تحقیر در ما می‌شود.,[],0
22,amh_train_track_a_00023,ህገወጥ የቤት ግንባታ ዛሬም ይፈርሳል ነገም ይፈርሳል ቆሻሻ ተቋም ለውሸትና ለብሄርህ ስታጎበድድ እውነትን ኦሮሚያ ላይ መጋረድ አትችልም ሲጀመር ይሄ ተቋም ኢትዮጵያ አይወክልም አማራን እንጂ,1,1,0,0,0,0,ساخت‌وساز غیرقانونی خانه امروز نیز تخریب خواهد شد و فردا هم تخریب می‌شود. مؤسسه کثیف، برای دروغ و نژادپرستی که تبلیغ می‌کنی، نمی‌توانی حقیقت را بر اورومیا تحمیل کنی. این مؤسسه از زمان شروع به کار نماینده اتیوپی نیست، بلکه تنها امهارا را نمایندگی می‌کند.,"['anger', 'disgust']",2
23,amh_train_track_a_00024,ኣዎ ይህ አይነቱ ዘግናኝ ግፍ ለታሪክ ብቻ ኣቀመጥም እንዲጠየቁበትም እንሰንደዋለን,1,0,0,0,1,0,بله، ما این نوع ظلم وحشت‌ناک را تنها به تاریخ می‌سپاریم و اصرار داریم که مورد بازجویی قرار گیرد.,"['anger', 'sadness']",2
24,amh_train_track_a_00025,በጣም ያሳዝናል ታሪኩ ልብ ይስብራል,0,0,0,0,1,0,بسیار غم‌انگیز است، داستان قلب را می‌شکند.,['sadness'],1
25,amh_train_track_a_00026,ቀንድ አውጣ ይህን እንዴት የአማራ መሪ አድርገው ቀጠሩት ያሳዝናል ህዝቡን እንዴት እንደሚንቁት,0,1,0,0,1,0,شاخ بیرون بیاور، این که چگونه او را به عنوان رهبر امهارا منصوب کردند غم‌انگیز است و نشان می‌دهد که چطور مردم را تحقیر می‌کنند.,"['disgust', 'sadness']",2
26,amh_train_track_a_00027,ይህንን ቀውስ ጠማቂና እብድ ሰውዬ ከቤተ መንግስት ወደ እስር ቤት በመወርወር ለህግ ማቅረብ የግድ ነው ከቀውስ ወደ ቀውስ ከጦርነት ወደጦርነት አገርን እየደ,1,1,0,0,0,0,این آشوب‌گر خطرناک و دیوانه باید از خانه دولت به زندان منتقل شود تا به قانون تحویل داده شود. این ضروری است که کشور را از آشوب به آشوب، از جنگ به جنگ نکشانیم.,"['anger', 'disgust']",2
27,amh_train_track_a_00028,ወደማን ይጮሀል ከፈጣሪ ዉጪ ያማል ቅኔዉ ወዳጀዋ ምንም ልትገዛ ምንም ሰዉ ልትጨፈጪፍ ልትገል አካል ልታጎል ትችልአለህ ግን ዋ ላንተ መጨረሻ ፍራ መከላከያ የሰፈር ሚኒሻ ነዉ እስኪ ይንገሩኚ ምርኮኛ ጀኔናር,1,0,0,0,1,0,به چه کسی فریاد می‌زند؟ به جز خالق، کیست که پاسخ دهد؟ شعرش به جایی نمی‌رسد. هیچکس را نمی‌توانی بپرستی، هیچ انسانی را نمی‌توانی نابود کنی، نمی‌توانی بدن را تحقیر کنی یا آن را از بین ببری. اما برای تو پایان ترسناک است، محافظت از ساکنان شهر وظیفه‌ای سنگین است. لطفاً به من بگویید، ژنرال شکست‌خورده.,"['anger', 'sadness']",2
28,amh_train_track_a_00029,በኢየሩሳሌም የነገሠው፣ የዳዊት ልጅ፣ የሰባኪው ቃል፤ ሰባኪው፣ “ከንቱ፣ ከንቱ፣ የከንቱ ከንቱ፤ ሁሉም ነገር ከንቱ ነው” ይላል። ከፀሓይ በታች ከሚለፋበት ተግባር ሁሉ፣ ሰው ምን ትርፍ ያገኛል? ትውልድ ይሄዳል፤ ትውልድ ይመጣል፤ ምድር ግን ለዘላለም ጸንታ ትኖራለች። ፀሓይ ትወጣለች፤ ትጠልቃለችም፤ ወደምትወጣበትም ለመመመለስ ትጣደፋለች። ነፋስ ወደ ደቡብ ይነፍሳል፤ ወደ ሰሜንም ይመለሳል፤ ዞሮ ዞሮ ይሄዳል፤ ዘወትርም ወደ ዑደቱ ይመለሳል። ወ,0,0,0,0,0,0,"در اورشلیم، پسر داوود، حکیم سخن می‌گوید؛ حکیم می‌گوید: ""باطل است، باطل است، همه چیز باطل است."" از تمام کارهایی که زیر آفتاب انجام می‌شود، انسان چه سودی می‌برد؟ نسلی می‌رود و نسل دیگری می‌آید؛ اما زمین برای همیشه پایدار می‌ماند. خورشید طلوع می‌کند و غروب می‌کند و به جایی که از آن طلوع کرده است بازمی‌گردد. باد به سمت جنوب می‌وزد و سپس به شمال برمی‌گردد؛ دور می‌زند و دوباره به چرخه خود ادامه می‌دهد.",[],0
29,amh_train_track_a_00030,አባቷ አሜሪካም አፍጋኒስታንንን ለበርካታ አመታት ወራ ስትገል ስትጨቁን በስተመጨረሻም ታንክ ና መድፏን እየጣለች ነው የሸሸሸችው ኢስራኢልም ከዚህ የከፋ ሽንፈት ነው የሚገጥማት ምክንያቱም ህዝብን ጦርነት ገጥሞ ያሸነፈ የለም ። ግዜው ሊረዝም ይችላል,1,0,0,0,0,0,پدرش آمریکا نیز برای سال‌های زیادی در افغانستان جنگید و سرانجام با تانک و تفنگ به عقب راند. اسرائیل هم از این بدتر شکست خواهد خورد، زیرا هیچ کشوری نتوانسته است پس از درگیر کردن مردم خود در جنگ، پیروز شود. زمان ممکن است طولانی شود.,['anger'],1
30,amh_train_track_a_00031,ያንቺ እና የመሰለቹሽ የዘቀጠ ዃላ ቀር የፅንፈኛ አስተሳሰብ ቃል አቀባይ ነበረ ምኑ ነዉ እዉነቱ ባክሽ,0,1,0,0,0,0,آن فکر و آن نوع تفکر سطحی تو، پذیرای کلمات افراط‌گرا بود. حقیقت چیست؟,['disgust'],1
31,amh_train_track_a_00032,ስጠላት እጭምስጥ ነገር ናት,0,1,0,0,0,0,سگلایت یک چیز است,['disgust'],1
32,amh_train_track_a_00033,የኢትዮጵያ ሚድያ መጀመሪያ እስራኤል በፍልስጤን ላይ ያደረሰችውን በደል ጆሮ ዳባ ልብስ ብላችሁ አሁን በእስራኤል ላይ ጥቃት ተፈፀመባት ትላላላችሁ።ንድድድ ትበል።ብሶት የወለደው ነው ።,1,1,0,0,0,0,رسانه‌های اتیوپی ابتدا جنایت اسرائیل علیه فلسطین را نادیده گرفتند و حالا می‌گویند که حمله‌ای به اسرائیل صورت گرفته است. دروغ می‌گویید. این نتیجه اعمال خودشان است.,"['anger', 'disgust']",2
33,amh_train_track_a_00034,አርብ የፍቅር ቀን ጌታ ሆይ ስለ ሰው ልጆች ፍቅር ስትል በዕለተ አርብ በቆረስከው ስጋህ ባፈሰሰከው ደምህ ብለህ አቤቱ ማረን ይቅርም በለን,0,0,0,0,1,0,جمعه روز عشق است، پروردگارا، هنگامی که از عشق به فرزندان انسان سخن می‌گویی، در روز جمعه با گوشتی که شکستی و خونی که ریختی، ای خداوند، ما را ببخش و بر ما رحم کن.,['sadness'],1
34,amh_train_track_a_00035,አይ ሲማይ የኔ እረ ተይክክሚስኪን ጉዚ ሰራሽለት,0,0,0,0,0,0,آی سی‌مای، یه ریمیکس از خودت ساختی.,[],0
35,amh_train_track_a_00036,የኦሮሞው መንግስት ለምን አማራውን መምታት ፈለገ? ከአቶ ግርማ የሺጥላ ሞት ጋር ተያይዞ የጸጥታና ደህንነት የጋራ ግብረ ኃይል ሰሞኑን,0,1,0,0,0,0,دولت اورومو چرا می‌خواست امهارا را بزند؟ در ارتباط با مرگ آتو گیرما شیتلا، اخیراً نیروی مشترک امنیت و صلح تشکیل شده است.,['disgust'],1
36,amh_train_track_a_00037,ተፈታዊት አለቆችሽ አንጥፈው የ አብይን እግር እየሳሙ ነው ቻይው,0,1,0,0,0,0,تِفَتاویت اَلقوشی آنتفو یه آبیین ایگر ایسامو نِد چایو,['disgust'],1
37,amh_train_track_a_00038,ባህራችንን የሰረቃችውብንን ውለታ ነው የምናስታውሰው  ታዲያ የቱን ውለታ ይሆን የምትለን እንደውም ክፋ ምቀኛችን እናንተ ናቹ ኢትዮዽያ ባህር የሚሰጣት ሃገር ማግኘቷ ከባድ ድንግጣ ውስጥ ከቷቹዋል ድንገት ያልጠበቃቹት ነገር ከሰመመናቹ ሲያነቃቹ ይሄኔ ውለታ የምትለው ለኢሳያስ ስልጣን ትግራይ ዘምተህ ጭዳ የሆንክበትን ይሆናል እኮ,1,1,0,0,0,0,دریای ما را که به سرقت بردید، لطف شماست که به یاد می‌آوریم. پس چه لطفی خواهد بود که بگویید؟ در واقع، شما دشمنان ما هستید. اتیوپی کشوری است که دریایی به آن داده شده و یافتن آن را در شگفتی بزرگی قرار داده‌اید. چیزی که انتظارش را نداشتید، وقتی از خواب بیدار شدید، این لطفی که می‌گویید برای اسایاس قدرت تیگرای خواهد بود که برخاسته و تسلیم شده‌اید.,"['anger', 'disgust']",2
38,amh_train_track_a_00039,የአምስት አመቱን ስቃይ ይሄ ኢንተርቪዉ ሊያስረሳኝ ነዉ ልበል የሆነ ተስፋ ይታየኛል ካታያቹ በላይክ አሳዩህኝ,0,0,0,1,0,0,این مصاحبه می‌خواهد درد پنج ساله‌ام را به یادم بیاورد، اما امیدی در من دیده می‌شود. کاتایاچو، لطفاً آن را به من نشان بده.,['joy'],1
39,amh_train_track_a_00040,የስንት ሚሊዮኖች ሞት እና መፈናቀል ነው የሚያስተምራችሁ ? ጋሼ ረጋ ይበሉ ፣ በ21 ዘመን ሰው እንደ ቅጠል እ,1,0,0,0,1,0,چندین میلیون مرگ و آوارگی چه چیزی به شما می‌آموزد؟ گاشه رگا بخورید، در قرن ۲۱ انسان مانند برگ است.,"['anger', 'sadness']",2
40,amh_train_track_a_00041,ሰውዪው ሀገሪቱን ጠላት ሰበሰባት ታደርገዋለች ምክንያቱም ግብፅ ይህንን አጋጣሚ መጠቀም ትፈልጋለች,0,0,0,0,0,0,شخص کشور را به دشمن تحویل می‌دهد زیرا مصر می‌خواهد از این فرصت استفاده کند.,[],0
41,amh_train_track_a_00042,የአፍሪካ ዋንጫ አሸናፊዎች በገንዘብ እና በቪላ ሽልማት ተንበሸበሹ,0,0,0,1,0,0,برندگان جام آفریقا با پول و جایزه‌های ویلا مورد تقدیر قرار گرفتند.,['joy'],1
42,amh_train_track_a_00043,ሰውን ባንዳ ከማለት አስቀድመው ተገቢውን ጥናት እና መረጃ ስብሰባ ያድርጉ። የኢትዮጵያን ፓለቲካ በአግባቡ ያጢኑ። የመረዳት አቅም ከሌለዎ ስሜታዊ ከሆነ ውሳኔ ተቆጥበው ድምፅ ተአቅቦ,1,0,0,0,0,0,قبل از اینکه کسی را محکوم کنید، مطالعه و جمع‌آوری اطلاعات مناسب را انجام دهید. سیاست اتیوپی را به درستی بررسی کنید. اگر توانایی درک ندارید، از تصمیم گیری احساسی خودداری کرده و با احتیاط عمل کنید.,['anger'],1
43,amh_train_track_a_00044,ከሉስፈርም ጋር ኢትዮጵያን ለመጥፋት እና አሸባሪ ወያኔ ለመታደግ መወያየቱ አይቀርም! አስመሳይ የአሸባሪ ወያኔ አፍቃሪ ነው ጋሽ አብይ አህመድ አጥብቃን ልንቃወሞ ይገባል፡፡፡,0,1,0,0,0,0,با لوسیفر برای نابودی اتیوپی و تقویت تروریست های ویانای بحث اجتناب‌ناپذیر است! گاش آبی احمد عاشق تروریست‌های ویاناست و باید با او به شدت مبارزه کنیم.,['disgust'],1
44,amh_train_track_a_00045,ይሄ ውርጋጥ ለካ የጠፉው ፕራንክ ሲያርግ ጠለፉት,0,1,0,0,0,0,این شوخی برای آن فردی است که در حین انجام یک شوخی گم شد.,['disgust'],1
45,amh_train_track_a_00046,በትግራይ በምግብ እጥረት 13 ህጻናት ሞተዋል- አይደር ሆስፒታል,0,0,0,0,1,0,در تیگرای، به دلیل کمبود غذا، ۱۳ کودک جان خود را از دست دادند - بیمارستان آیدر.,['sadness'],1
46,amh_train_track_a_00047,ይህን ድራማ ባልጀምር ጥሩ ነበር እንደሚሞቱ አውቃለሁ ግን ማየት ጀምራለሁ,0,0,0,0,1,0,این درام را شروع نکردم، خوب بود. می‌دانستم که مثل این است که دارند می‌میرند، اما دارم آن را تماشا می‌کنم.,['sadness'],1
47,amh_train_track_a_00048,እለት ዕለት በንስሐ እየታደስን የጌታ ምጽዓት ከቀድሞ ይልቅ ቀርባለችና እራሳችንን እናዘጋጅ ሞት ድንገት መጥቶ እንዲህ ይወስዳል በእርሱ በማመን በሚገኝ ድነት ከዘላለም ሞት ወደዘላለም ህይወት መግባት ይሁንልንመዳን በክርስቶስ በማመን እንጂ መልካም ስራን በመስራት አይደለም,0,0,0,0,0,0,هر روز با توبه تجدید می‌شویم و عید خداوند نزدیکتر از قبل است، پس خود را آماده کنیم. مرگ ناگهان فرا می‌رسد و ما را با خود می‌برد. با ایمان به او و نجات یافتن، از مرگ ابدی به زندگی جاودانه وارد شویم. نجات تنها با ایمان به مسیح است، نه با انجام کارهای نیک.,[],0
48,amh_train_track_a_00049,በጣም ጥሩ ነዉ መረዳዳዳት ሌሎቹም ማሳያ ነዉና በርታ ጎበዝ ...,0,0,0,1,0,0,بسیار عالی است، درک کردن دیگران نیز نشانه‌ای از بلوغ و هوشمندی است...,['joy'],1
49,amh_train_track_a_00050,አሁን እንደሱ ሆዳም ህዝብ ካልሆነ ማንም አይሸወድልህም አገር መውጫ መግብያ አተን ገና የባር በር ቅብርጥሰዬ ይላል የጂኔ ልጆዎች ሴጣን መንግስት,1,1,0,0,0,0,اکنون، اگر مانند او مردم چاق نباشی، هیچ‌کس تو را نمی‌خرد. دروازه ورود و خروج کشور هنوز بسته است و برده‌داری ادامه دارد. فرزندان جنی می‌گویند: حکومت شیطان.,"['anger', 'disgust']",2
50,amh_train_track_a_00051,አረ ጃንሆይ ሼም አገር ጥሎ ስለተንቦቀቦቀ ነው በዘመኑ ኢትዮጵያን የፈጠፈጠ የጣለ ቤተሰቡን በእንግሊዝ አስቀምጦ ኢትዮጵያን ዋጋ ያስከፈለ 😏😏😏,1,1,0,0,0,0,آره جان‌هوی شیم، چون کشور را رها کرد و به آن خیانت نمود، در زمان خود اتیوپی را ویران کرد و خانواده‌اش را در انگلستان ساکن کرد و بهای اتیوپی را پرداخت 😏😏😏,"['anger', 'disgust']",2
51,amh_train_track_a_00052,ብልጽግና በአብን በኩል ያወጣው የአጨዳ ወቅት ዲስኩር ሲያስቀኝ መንግስት ተብየው በሱዳን የተወሰደብን መሬት ይመለስ ዘንድ ስለሱዳን ሰላም ጸልዩ የሚለው ማላገጫ አሳረረኝ ጎበዝ ምኑ አዘቅት ውስጥ ነው የወደቅነው,1,0,0,0,0,0,بلوغ‌گری که توسط پدر از طریق دوران سختی که دیسکورس را به سمت راست هدایت کرد، دولت مورد خطاب قرار گرفت تا زمینی که در سودان گرفته شده بود بازگرداند. دعای صلح برای سودان مرا تحت تأثیر قرار داد و باعث شد به فکر فرو بروم که ما در چه وضعیتی افتاده‌ایم.,['anger'],1
52,amh_train_track_a_00053,ባሪያ ምንድን ነው? በዘረኝነት ያልተበከለ ሰው ለናንተ ባሪያ ነው? በኢትዮጵያ የሚኮራ ባሪያ ነው? ሰውየው እንቁ ነው! ለእምዬ ኢትዮ,1,0,0,0,0,0,برده چیست؟ آیا کسی که توسط استعمار آلوده نشده، برای شما برده است؟ آیا در اتیوپی به داشتن برده افتخار می‌کنند؟ آن مرد احمق است! برای مادرم اتیوپیا.,['anger'],1
53,amh_train_track_a_00054,አፉ መርዝ የሆነ ሠውዬ ነው የብልጽግና ባንዳ ነው የሚያነሳቸው ሀሳቦች ሁሉ ጥላቻ ነው ትግራይም አማራም አንድ ይሆናሉ,0,1,0,0,0,0,او فردی است که دهانش پر از زهر است، و گروه بی‌عدالتی را رهبری می‌کند. تمام ایده‌هایی که مطرح می‌کند، نفرت است. تیگرای و امهارا یکی خواهند شد.,['disgust'],1
54,amh_train_track_a_00055,ቤሊንግሃም ግሪንዉድን ‘ደፋሪ’ ብሎ ተሳድቧል ከተባለ በኋላ ላ ሊጋ ምርመራ ጀመረ,0,0,0,0,0,0,"بیلینگهام پس از اینکه گرینوود را ""بی‌پروا"" خواند، تحقیقات لا لیگا را آغاز کرد.",[],0
